site,category,site_product_type,site_tags,product_title,variant_title,form_factor,form_factor_description,price_usd,weight_grams,price_per_gram,year,in_stock,product_url
white2tea,Black,Black Tea,"Black Tea, White Tea",2022 Blood Moon Mini,~7g,Mini,"A mini pressed tea, smaller than a full cake",0.0,7.0,0.0,2022,False,https://white2tea.com/products/2022-blood-moon-mini
white2tea,Raw Puer,Raw Puer Tea,Archived,2012 White 2 Tea / Taochaju Giant Steps,357g Cake,Whole Cake,"A whole pressed tea cake, brick, or tuo",0.0,357.0,0.0,2012,False,https://white2tea.com/products/2012-white-2-tea-taochaju-giant-steps-blend
white2tea,Raw Puer,Raw Puer Tea,Archived,2012 White 2 Tea / Taochaju Giant Steps,25g Sample,Sample,Small sample-size portion of a tea,0.0,25.0,0.0,2012,False,https://white2tea.com/products/2012-white-2-tea-taochaju-giant-steps-blend
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2024 XiaGuan ""Jin Si Tuo Cha"" (Golden Ribon) 100g Puerh Raw Tea Sheng Cha",Sample 9g,Sample,Small sample-size portion of a tea,0.0,9.0,0.0,2024,False,https://kingteamall.com/products/2021-xiaguan-jin-si-tuo-cha-golden-ribon-100g-puerh-raw-tea-sheng-cha-copy
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"1999 CNNP Puerh ""99 - Gui Lan Yin"" (99 - Ghost Blue Mark) Cake 357g Puerh Sheng Cha Raw Tea",Sample 7g,Sample,Small sample-size portion of a tea,0.0,7.0,0.0,1999,False,https://kingteamall.com/products/2019-spring-mei-zhan-light-medium-roasted-high-grade-wuyi-yancha-oolong-tea
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"1999 CNNP Puerh ""99 - Gui Lan Yin"" (99 - Ghost Blue Mark) Cake 357g Puerh Sheng Cha Raw Tea",25g,Whole Cake,"A whole pressed tea cake, brick, or tuo",0.0,25.0,0.0,1999,False,https://kingteamall.com/products/2019-spring-mei-zhan-light-medium-roasted-high-grade-wuyi-yancha-oolong-tea
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"1999 CNNP Puerh ""99 - Gui Lan Yin"" (99 - Ghost Blue Mark) Cake 357g Puerh Sheng Cha Raw Tea",50g,Whole Cake,"A whole pressed tea cake, brick, or tuo",0.0,50.0,0.0,1999,False,https://kingteamall.com/products/2019-spring-mei-zhan-light-medium-roasted-high-grade-wuyi-yancha-oolong-tea
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"1999 CNNP Puerh ""99 - Gui Lan Yin"" (99 - Ghost Blue Mark) Cake 357g Puerh Sheng Cha Raw Tea",100g,Whole Cake,"A whole pressed tea cake, brick, or tuo",0.0,100.0,0.0,1999,False,https://kingteamall.com/products/2019-spring-mei-zhan-light-medium-roasted-high-grade-wuyi-yancha-oolong-tea
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2016 XiaGuan ""Chi Cha Qu"" (Let's Drink Tea)  Cake 357g Puerh Raw Tea Sheng Cha",Sample 9g,Sample,Small sample-size portion of a tea,0.0,9.0,0.0,2016,False,https://kingteamall.com/products/2016-xiaguan-chi-cha-qu-lets-drink-tea-cake-357g-puerh-raw-tea-sheng-cha
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2021 XiaGuan ""Jia Tuo"" (1st Grade Tuo) 100g Puerh Raw Tea Sheng Cha",Sample 9g,Sample,Small sample-size portion of a tea,0.0,9.0,0.0,2021,False,https://kingteamall.com/products/2021-xiaguan-jia-tuo-1st-grade-tuo-100g-puerh-raw-tea-sheng-cha
